Enrollment
10/12/2024

Year,Level,Division,Grade,Count
"2023 - 2024",DIV,"Chesterfield County Public Schools",06,4604
"2023 - 2024",DIV,"Chesterfield County Public Schools",07,4885
"2023 - 2024",DIV,"Chesterfield County Public Schools",08,4961
"2023 - 2024",DIV,"Chesterfield County Public Schools",09,5614
"2023 - 2024",DIV,"Chesterfield County Public Schools",10,5324
"2023 - 2024",DIV,"Chesterfield County Public Schools",11,4947
"2023 - 2024",DIV,"Chesterfield County Public Schools",12,4895
"2023 - 2024",DIV,"Clarke County Public Schools",,1924
"2023 - 2024",DIV,"Clarke County Public Schools",PK,34
"2023 - 2024",DIV,"Clarke County Public Schools",KG,115
"2023 - 2024",DIV,"Clarke County Public Schools",01,127
"2023 - 2024",DIV,"Clarke County Public Schools",02,140
"2023 - 2024",DIV,"Clarke County Public Schools",03,130
"2023 - 2024",DIV,"Clarke County Public Schools",04,127
"2023 - 2024",DIV,"Clarke County Public Schools",05,124
"2023 - 2024",DIV,"Clarke County Public Schools",06,126
"2023 - 2024",DIV,"Clarke County Public Schools",07,148
"2023 - 2024",DIV,"Clarke County Public Schools",08,151
"2023 - 2024",DIV,"Clarke County Public Schools",09,165
"2023 - 2024",DIV,"Clarke County Public Schools",10,166
"2023 - 2024",DIV,"Clarke County Public Schools",11,175
"2023 - 2024",DIV,"Clarke County Public Schools",12,196
"2023 - 2024",DIV,"Colonial Beach Public Schools",,605
"2023 - 2024",DIV,"Colonial Beach Public Schools",PK,26
"2023 - 2024",DIV,"Colonial Beach Public Schools",KG,48
"2023 - 2024",DIV,"Colonial Beach Public Schools",01,38
"2023 - 2024",DIV,"Colonial Beach Public Schools",02,53
"2023 - 2024",DIV,"Colonial Beach Public Schools",03,36
"2023 - 2024",DIV,"Colonial Beach Public Schools",04,37
"2023 - 2024",DIV,"Colonial Beach Public Schools",05,50
"2023 - 2024",DIV,"Colonial Beach Public Schools",06,41
"2023 - 2024",DIV,"Colonial Beach Public Schools",07,50
"2023 - 2024",DIV,"Colonial Beach Public Schools",08,43
"2023 - 2024",DIV,"Colonial Beach Public Schools",09,57
"2023 - 2024",DIV,"Colonial Beach Public Schools",10,47
"2023 - 2024",DIV,"Colonial Beach Public Schools",11,39
"2023 - 2024",DIV,"Colonial Beach Public Schools",12,40
"2023 - 2024",DIV,"Colonial Heights City Public Schools",,2931
"2023 - 2024",DIV,"Colonial Heights City Public Schools",PK,102
"2023 - 2024",DIV,"Colonial Heights City Public Schools",KG,204
"2023 - 2024",DIV,"Colonial Heights City Public Schools",01,219
"2023 - 2024",DIV,"Colonial Heights City Public Schools",02,206
"2023 - 2024",DIV,"Colonial Heights City Public Schools",03,229
"2023 - 2024",DIV,"Colonial Heights City Public Schools",04,214
"2023 - 2024",DIV,"Colonial Heights City Public Schools",05,252
"2023 - 2024",DIV,"Colonial Heights City Public Schools",06,228
"2023 - 2024",DIV,"Colonial Heights City Public Schools",07,196
"2023 - 2024",DIV,"Colonial Heights City Public Schools",08,224
"2023 - 2024",DIV,"Colonial Heights City Public Schools",09,223
"2023 - 2024",DIV,"Colonial Heights City Public Schools",10,271
"2023 - 2024",DIV,"Colonial Heights City Public Schools",11,184
"2023 - 2024",DIV,"Colonial Heights City Public Schools",12,179
"2023 - 2024",DIV,"Craig County Public Schools",,471
"2023 - 2024",DIV,"Craig County Public Schools",PG,1
"2023 - 2024",DIV,"Craig County Public Schools",PK,10
"2023 - 2024",DIV,"Craig County Public Schools",KG,30
"2023 - 2024",DIV,"Craig County Public Schools",01,24
"2023 - 2024",DIV,"Craig County Public Schools",02,37
"2023 - 2024",DIV,"Craig County Public Schools",03,31
"2023 - 2024",DIV,"Craig County Public Schools",04,36
